Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Previous Pattern,Pattern
109,128,85,77,69,149,66,62,153,124,114,100,122,4,0
95,86,82,79,74,69,65,61,57,52,49,45,42,4,3
110,84,81,77,71,152,119,178,217,180,94,88,85,4,1
106,127,144,156,170,150,73,69,64,60,55,52,47,4,1
107,96,91,86,82,102,168,301,NaN,125,NaN,71,NaN,4,2
96,47,43,39,35,31,129,91,156,178,164,40,38,4,1
104,123,122,109,101,72,64,57,141,115,142,78,72,4,0
108,98,136,183,369,162,126,97,56,45,80,93,84,4,2
100,127,96,91,140,94,124,79,71,NaN,NaN,NaN,NaN,4,0
97,137,135,94,114,59,52,108,110,NaN,NaN,46,107,4,0
110,90,86,83,78,128,135,179,181,NaN,NaN,NaN,NaN,4,1
91,49,45,42,39,35,31,91,128,136,172,171,82,4,1
91,49,45,42,39,35,31,91,128,136,172,127,37,4,1
91,49,45,42,39,35,31,91,128,136,172,127,82,4,1
91,49,45,42,39,35,31,91,128,136,172,171,37,4,1
93,130,108,107,96,118,130,58,53,NaN,NaN,72,68,4,0
106,81,116,103,144,177,163,57,52,49,45,NaN,NaN,4,1
99,87,84,81,77,74,120,166,588,NaN,NaN,NaN,NaN,4,2
93,80,76,72,69,65,62,120,158,393,163,NaN,NaN,4,2
90,97,93,NaN,NaN,50,100,58,51,90,89,120,96,4,0
104,76,66,61,58,106,122,166,208,158,42,39,39,4,1
NaN,92,87,82,79,74,117,107,151,154,153,54,51,4,1
114,138,119,146,160,NaN,NaN,83,72,73,NaN,NaN,NaN,4,0
90,100,126,122,112,57,52,44,101,115,NaN,58,NaN,4,0
96,85,81,139,138,160,169,160,65,62,59,54,49,4,1
96,86,82,116,178,264,178,104,58,NaN,85,NaN,NaN,4,2
110,86,82,77,72,67,62,NaN,NaN,116,205,NaN,197,4,1
91,85,119,87,60,53,50,106,124,97,NaN,57,51,4,0
96,86,124,104,67,60,126,68,63,58,104,108,131,4,0
98,133,107,60,54,116,93,129,NaN,NaN,NaN,NaN,NaN,4,0
103,38,34,31,28,24,21,17,114,126,131,139,134,4,1
97,59,54,50,47,126,107,149,154,142,57,54,NaN,4,1
96,85,82,77,72,68,64,60,56,52,NaN,NaN,NaN,4,3
108,96,93,88,83,79,130,203,358,173,114,80,95,4,2
93,80,76,72,68,64,87,140,441,186,110,84,84,4,2
93,80,76,72,68,64,87,140,441,186,110,38,38,4,2
93,80,76,72,68,64,87,140,441,131,110,84,84,4,2
93,80,76,72,68,64,87,140,441,131,110,38,38,4,2
99,83,80,76,73,68,66,97,164,589,189,97,90,4,2
99,83,80,76,73,68,66,97,164,589,189,97,40,4,2
90,80,76,73,70,65,95,94,131,140,138,81,79,4,1
90,80,76,73,70,65,95,94,131,140,138,36,34,4,1
98,86,82,78,74,70,66,61,58,54,49,46,42,1,3
95,83,79,76,73,69,66,62,58,54,51,47,43,1,3
95,59,51,103,115,120,104,74,68,61,104,119,89,3 ,0
90,59,55,48,88,108,89,NaN,NaN,92,NaN,51,91,2,0
103,90,86,83,79,76,71,66,107,149,305,187,140,1,2
